COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
North Macedonia,Europe,310413,14899.49,625,29.999,115,9287,445.766,1,0.048,0,2.991820525400534,MKD,EURO,REPORTING,5/1/2022,1847640.0,853497.0,88.7,41.108,836829.0,40.305,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2/17/2021,6.0,157314.0,7.577
Botswana,Africa,306200,13020.772,0,0.0,0,2690,114.389,0,0.0,0,0.8785116581413144,BWA,AFRO,REPORTING,5/8/2022,1920000.0,1479625.0,81.646,62.919,1339651.0,56.967,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6.0,327708.0,13.935
Albania,Europe,275416,9570.366,225,7.818,44,3497,121.516,1,0.035,0,1.2697111061374249,ALB,EURO,REPORTING,5/1/2022,2825500.0,1299321.0,98.2,45.655,1230636.0,43.242,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5.0,295543.0,10.385
Algeria,Africa,265800,606.143,18,0.041,0,6875,15.678,0,0.0,0,2.5865183628285737,DZA,AFRO,REPORTING,5/8/2022,15205854.0,7840131.0,34.676,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4.0,514063.0,1.172
Nigeria,Africa,255766,124.074,0,0.0,0,3143,1.525,0,0.0,0,1.2291052114060963,NGA,AFRO,REPORTING,5/8/2022,41091354.0,27401621.0,19.934,13.293,15931011.0,7.728,SII - Covishield,3/5/2021,1.0,942369.0,0.457
Zimbabwe,Africa,247842,1667.518,0,0.0,0,5469,36.796,0,0.0,0,2.2066328519392293,ZWE,AFRO,REPORTING,5/8/2022,10350000.0,5894358.0,69.636,39.658,3776489.0,25.409,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2/18/2021,4.0,628615.0,4.229
Luxembourg,Europe,242194,38682.464,2859,456.63,16,1071,171.057,5,0.799,1,0.4422081282102402,LUX,EURO,REPORTING,5/1/2022,1255649.0,468958.0,200.5,74.9,461798.0,73.757,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5.0,359283.0,57.384
Uzbekistan,Europe,238747,713.333,111,0.332,4,1637,4.891,0,0.0,0,0.6856545260067879,UZB,EURO,REPORTING,4/24/2022,48286000.0,19169443.0,144.3,57.275,14551774.0,43.478,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/28/2021,7.0,4571851.0,13.66
Montenegro,Europe,235939,37566.196,539,85.82,107,2717,432.601,2,0.318,0,1.1515698847974918,MNE,EURO,REPORTING,4/10/2022,528839.0,276421.0,84.2,44.45,252418.0,40.59,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2/24/2021,5.0,0.0,0.0
Mozambique,Africa,225430,721.251,43,0.138,0,2201,7.042,0,0.0,0,0.9763591315644624,MOZ,AFRO,REPORTING,5/8/2022,31616078.0,14816217.0,101.154,47.404,13891137.0,44.444,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/8/2021,3.0,340293.0,1.089
