COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
United States of America,Americas,81178013,24524.883,492020,148.645,156260,990599,299.272,2568,0.776,339,1.2202790121363676,USA,AMRO,REPORTING,5/6/2022,570102931.0,270336718.0,172.235,81.672,217410632.0,65.682,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/14/2020,3.0,99432938.0,30.04
India,South-East Asia,43110586,3123.946,22468,1.628,2897,524157,37.982,237,0.017,54,1.2158340765173277,IND,SEARO,REPORTING,5/10/2022,1906551885.0,1004921253.0,138.155,72.82,871590794.0,63.159,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",1/16/2021,8.0,30039838.0,2.177
Brazil,Americas,30574245,14383.858,113248,53.278,9709,664192,312.474,590,0.278,53,2.172393526131862,BRA,AMRO,REPORTING,5/6/2022,416055006.0,179112844.0,195.736,84.265,159915412.0,75.233,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5.0,79853054.0,37.567
France,Europe,28172780,43316.509,250885,385.743,48584,143723,220.979,710,1.092,123,0.510149606008185,FRA,EURO,REPORTING,5/1/2022,147030463.0,54336626.0,218.4,80.714,52726063.0,78.321,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6.0,39676353.0,58.937
Germany,Europe,25503878,30665.969,422268,507.737,69020,136987,164.714,80,0.096,5,0.5371230891154948,DEU,EURO,REPORTING,5/1/2022,178550662.0,64498790.0,214.7,77.554,64415843.0,77.454,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6.0,49321652.0,59.305
Republic of Korea,Western Pacific,17658794,34443.29,263022,513.022,43925,23491,45.819,412,0.804,29,0.1330273617880289,KOR,WPRO,REPORTING,5/9/2022,124962801.0,45956689.0,243.739,89.638,44474239.0,86.747,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5.0,33171116.0,64.7
Italy,Europe,16872618,28290.069,286350,480.119,56199,164731,276.202,842,1.412,158,0.9763214080531228,ITA,EURO,REPORTING,5/1/2022,135709653.0,50370974.0,227.5,84.461,47441188.0,79.544,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,39376794.0,66.022
Spain,Europe,12058888,25476.911,105407,222.694,49829,105123,222.094,476,1.006,222,0.8717461861840315,ESP,EURO,REPORTING,5/1/2022,101296643.0,41180799.0,214.0,87.003,37302187.0,78.809,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4.0,24794087.0,52.383
Viet Nam,Western Pacific,10681214,10973.259,21856,22.454,2855,43058,44.235,14,0.014,1,0.403116339457585,VNM,WPRO,REPORTING,5/5/2022,215350776.0,82077999.0,221.239,84.322,77122937.0,79.232,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6.0,15320992.0,15.74
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0,1.414397902743254,ARG,AMRO,REPORTING,5/6/2022,99115622.0,41035648.0,219.303,90.795,37278843.0,82.483,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7.0,21113527.0,46.716
Japan,Western Pacific,8172238,6461.47,220046,173.982,39041,29894,23.636,211,0.167,51,0.365799113823944,JPN,WPRO,REPORTING,4/27/2022,270695768.0,103153093.0,214.029,81.559,101458832.0,80.22,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/17/2021,4.0,66083843.0,52.25
Netherlands,Europe,8063029,46319.056,10007,57.486,1586,22281,127.996,19,0.109,3,0.2763355108100648,NLD,EURO,REPORTING,5/1/2022,36126361.0,13465622.0,207.5,77.355,12405837.0,71.267,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",1/6/2021,6.0,9304880.0,53.453
Iran (Islamic Republic of),Eastern Mediterranean,7226219,8603.364,2643,3.147,460,141192,168.1,61,0.073,3,1.9538868749479852,IRN,EMRO,REPORTING,5/8/2022,148519147.0,64352741.0,176.823,76.617,57591669.0,68.567,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",2/9/2021,12.0,26574737.0,31.639
Australia,Western Pacific,6328508,24817.791,305766,1199.088,48015,7565,29.667,254,0.996,49,0.1195392450520677,AUS,WPRO,REPORTING,5/7/2022,58068709.0,22288752.0,227.721,87.407,21553633.0,84.524,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5.0,13497494.0,52.932
Colombia,Americas,6093645,11975.823,978,1.922,0,139809,274.766,12,0.024,0,2.294339186542754,COL,AMRO,REPORTING,5/6/2022,82845381.0,42136168.0,162.816,82.81,35534430.0,69.836,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5.0,11597140.0,22.792
Indonesia,South-East Asia,6049541,2211.707,2050,0.749,400,156424,57.188,103,0.038,8,2.585695121460483,IDN,SEARO,REPORTING,5/10/2022,406244365.0,199370175.0,148.523,72.89,165719307.0,60.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021,7.0,41154883.0,15.046
Poland,Europe,6001893,15811.874,3895,10.261,566,116164,306.032,94,0.248,14,1.9354568598257236,POL,EURO,REPORTING,5/1/2022,54370993.0,22769680.0,143.2,59.986,22473613.0,59.206,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,11918350.0,31.399
Mexico,Americas,5745652,4456.317,2292,1.778,0,324465,251.654,6,0.005,0,5.64712968130409,MEX,AMRO,REPORTING,5/6/2022,201861103.0,85904997.0,156.563,66.628,79947470.0,62.007,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/2020,7.0,48258084.0,37.429
Ukraine,Europe,5006460,11447.587,3590,8.209,0,108449,247.975,38,0.087,0,2.166177029272632,UKR,EURO,REPORTING,2/27/2022,31668577.0,15774300.0,72.4,36.069,15153577.0,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,6.0,741197.0,1.695
Malaysia,Western Pacific,4463740,13791.448,11959,36.949,2605,35590,109.961,26,0.08,6,0.7973129434994788,MYS,WPRO,REPORTING,5/6/2022,70366312.0,27780052.0,217.408,85.831,26759334.0,82.677,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/2021,8.0,16040304.0,49.559
Thailand,South-East Asia,4345218,6225.243,54394,77.928,7650,29252,41.908,392,0.562,56,0.6731946046122216,THA,SEARO,REPORTING,5/9/2022,134171194.0,56221946.0,192.222,80.547,51539030.0,73.838,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/28/2021,7.0,26410218.0,37.837
Austria,Europe,4231050,47534.205,36813,413.58,4787,19816,222.625,51,0.573,3,0.4683469514216131,AUT,EURO,REPORTING,5/1/2022,18278212.0,6823343.0,205.3,76.658,6608360.0,74.242,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6.0,5197422.0,58.391
Belgium,Europe,4102082,35600.81,17516,152.016,0,31580,274.074,45,0.391,0,0.769853270192448,BEL,EURO,REPORTING,5/1/2022,25303482.0,9228773.0,219.6,80.094,9131490.0,79.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4.0,7130176.0,61.881
Israel,Europe,4098807,47354.718,14564,168.262,2021,10749,124.186,3,0.035,1,0.2622463088049643,ISR,EURO,REPORTING,4/17/2022,15012927.0,7053159.0,173.4,81.487,6380981.0,73.721,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/16/2020,3.0,1578787.0,18.24
Portugal,Europe,3991041,38763.367,99866,969.958,20482,22500,218.533,142,1.379,27,0.5637616567208933,PRT,EURO,REPORTING,5/1/2022,23821358.0,9701161.0,231.4,94.328,8836199.0,85.822,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,6.0,6406862.0,62.227
Czechia,Europe,3914113,36601.228,4917,45.979,755,40233,376.222,37,0.346,1,1.0278944739231153,CZE,EURO,REPORTING,5/1/2022,17563851.0,6952162.0,164.2,65.01,6862670.0,64.173,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,4158810.0,38.889
South Africa,Africa,3844625,6482.397,42427,71.536,0,100533,169.508,156,0.263,0,2.614896927787669,ZAF,AFRO,REPORTING,5/8/2022,35124794.0,19703742.0,59.224,33.222,17890102.0,30.164,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2.0,2836165.0,4.782
Canada,Americas,3794896,10054.794,30050,79.619,2060,39788,105.421,338,0.896,5,1.0484650406562284,CAN,AMRO,REPORTING,5/6/2022,82266137.0,32534718.0,217.969,86.203,31193378.0,82.649,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5.0,18538041.0,49.118
Philippines,Western Pacific,3687320,3364.924,1104,1.007,127,60439,55.155,27,0.025,0,1.6391157720055491,PHL,WPRO,REPORTING,5/5/2022,147623883.0,73470137.0,134.717,67.046,68956057.0,62.927,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11.0,13389430.0,12.219
Switzerland,Europe,3631884,41964.694,9684,111.894,3,13217,152.716,7,0.081,0,0.3639154380584784,CHE,EURO,REPORTING,5/1/2022,16198374.0,6413965.0,187.2,74.529,5995819.0,69.67,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,3.0,3847049.0,44.702
Chile,Americas,3583227,18744.451,19577,102.411,1853,57642,301.535,98,0.513,3,1.608662745043853,CHL,AMRO,REPORTING,5/6/2022,52997000.0,17918425.0,277.236,93.734,17464675.0,91.361,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5.0,14021464.0,73.349
Peru,Americas,3570075,10827.644,3552,10.773,293,212957,645.875,92,0.279,11,5.965055740657894,PER,AMRO,REPORTING,5/6/2022,72763716.0,29189570.0,220.684,88.529,27002494.0,81.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4.0,16316965.0,49.488
Greece,Europe,3371051,31450.581,35501,331.21,6416,29444,274.701,195,1.819,27,0.873436964487238,GRC,EURO,REPORTING,5/1/2022,20954161.0,7894162.0,195.5,73.649,7704695.0,71.882,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,5754235.0,53.685
Denmark,Europe,3124899,53666.945,5800,99.609,1003,6252,107.372,61,1.048,8,0.2000710120540679,DNK,EURO,REPORTING,5/1/2022,13200246.0,4833577.0,226.7,83.012,4785844.0,82.192,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/16/2020,5.0,3627647.0,62.301
Romania,Europe,2900375,15005.429,4363,22.572,812,65581,339.291,71,0.367,15,2.2611216247132955,ROU,EURO,REPORTING,5/1/2022,16000304.0,8170257.0,82.8,42.27,8114498.0,41.981,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4.0,1728606.0,8.943
Sweden,Europe,2503090,24236.925,837,8.105,0,18824,182.269,0,0.0,0,0.752030218354845,SWE,EURO,REPORTING,5/1/2022,21331347.0,7550310.0,206.5,73.108,7381438.0,71.473,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5.0,5310978.0,51.425
Iraq,Eastern Mediterranean,2325871,5782.513,584,1.452,131,25215,62.689,3,0.007,1,1.0841134295763797,IRQ,EMRO,REPORTING,5/8/2022,18142685.0,10557921.0,45.106,26.249,7414628.0,18.434,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/2/2021,10.0,170136.0,0.423
Serbia,Europe,2010961,29032.0,3407,49.186,466,16037,231.524,30,0.433,4,0.7974786442546156,SRB,EURO,REPORTING,3/27/2022,6696502.0,3386883.0,96.7,48.896,3309619.0,47.781,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,0.0,0.0
Bangladesh,South-East Asia,1952855,1185.781,112,0.068,0,29127,17.686,0,0.0,0,1.4915064417459885,BGD,SEARO,REPORTING,5/10/2022,258739535.0,128838366.0,157.108,78.231,116692702.0,70.856,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8.0,13208467.0,8.02
Hungary,Europe,1909948,19550.058,6748,69.072,6748,46343,474.363,77,0.788,77,2.426402008628312,HUN,EURO,REPORTING,5/1/2022,16371264.0,6343223.0,167.6,64.929,6136829.0,62.816,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,7.0,3829408.0,39.197
Slovakia,Europe,1785978,32722.967,2625,48.096,443,20002,366.48,59,1.081,8,1.1199473446280102,SVK,EURO,REPORTING,5/1/2022,7069763.0,2821136.0,129.5,51.689,2770480.0,50.761,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/6/2021,6.0,1646757.0,30.172
Jordan,Eastern Mediterranean,1696054,16622.873,84,0.823,0,14066,137.86,0,0.0,0,0.8293391882377975,JOR,EMRO,REPORTING,5/5/2022,9901017.0,4764976.0,97.039,46.701,4486523.0,43.972,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021,10.0,653646.0,6.406
Georgia,Europe,1655221,41492.815,0,0.0,0,16811,421.415,0,0.0,0,1.0156336705523594,GEO,EURO,REPORTING,4/24/2022,2670636.0,1277876.0,66.9,32.034,1161430.0,29.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4.0,231330.0,5.799
Pakistan,Eastern Mediterranean,1528833,692.117,877,0.397,31,30375,13.751,6,0.003,0,1.986802809351598,PAK,EMRO,REPORTING,5/8/2022,252931485.0,142432832.0,114.504,64.481,120303098.0,54.462,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/2021,11.0,6998766.0,3.168
Ireland,Europe,1527328,30765.363,5280,106.356,424,7167,144.367,37,0.745,6,0.4692517361163591,IRL,EURO,REPORTING,5/1/2022,10781457.0,4033681.0,217.2,81.251,3989700.0,80.366,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5.0,2994751.0,60.324
China,Western Pacific,1428927,97.121,277804,18.882,51290,15493,1.053,164,0.011,24,1.084214536506008,CHN,WPRO,REPORTING,5/6/2022,3399003302.0,1295022927.0,231.022,88.02,1263903146.0,85.905,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020,8.0,739107960.0,50.235
Norway,Europe,1428333,26610.372,1534,28.579,167,3006,56.003,0,0.0,0,0.2104555321511476,NOR,EURO,REPORTING,5/1/2022,11293086.0,4333777.0,210.4,80.74,4038343.0,75.236,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4.0,2927946.0,54.549
Kazakhstan,Europe,1394649,7427.548,104,0.554,5,19014,101.264,1,0.005,0,1.3633570594225712,KAZ,EURO,REPORTING,5/1/2022,24513997.0,10529186.0,130.6,56.076,10145531.0,54.033,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",4/7/2021,5.0,3839280.0,20.447
Singapore,Western Pacific,1225024,20939.357,22478,384.217,4831,1356,23.178,18,0.308,4,0.1106910780498178,SGP,WPRO,REPORTING,5/2/2022,13996595.0,5013097.0,239.244,85.689,4982801.0,85.171,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4.0,4000697.0,68.384
Morocco,Eastern Mediterranean,1165366,3157.27,362,0.981,83,16071,43.54,2,0.005,0,1.379039486645108,MAR,EMRO,REPORTING,5/10/2022,54485117.0,24908701.0,147.614,67.484,23387915.0,63.364,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/28/2021,10.0,6286214.0,17.031
Bulgaria,Europe,1160347,16692.081,2428,34.928,422,37007,532.361,60,0.863,13,3.189302759793701,BGR,EURO,REPORTING,5/1/2022,4383603.0,2087643.0,63.1,30.032,2057778.0,29.602,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4.0,743630.0,10.697
Croatia,Europe,1128239,27801.703,4661,114.855,440,15899,391.778,51,1.257,3,1.4091870559152435,HRV,EURO,REPORTING,5/1/2022,5243706.0,2311811.0,129.2,57.0,2237678.0,55.14,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6.0,891125.0,21.959
Lebanon,Eastern Mediterranean,1097643,16081.633,525,7.692,68,10402,152.4,10,0.147,2,0.947664954174741,LBN,EMRO,REPORTING,5/9/2022,5613936.0,2679956.0,82.25,39.264,2356112.0,34.52,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/14/2021,10.0,577868.0,8.466
Lithuania,Europe,1060058,37939.293,1064,38.08,198,9123,326.511,12,0.429,1,0.8606143504044739,LTU,EURO,REPORTING,5/1/2022,4466348.0,1949989.0,159.8,69.944,1899322.0,67.976,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5.0,886648.0,31.733
Finland,Europe,1052767,19053.599,1459,26.406,0,4150,75.109,0,0.0,0,0.394198492368817,FIN,EURO,REPORTING,5/1/2022,11788503.0,4527706.0,213.4,81.945,4333456.0,78.429,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5.0,2927341.0,52.981
Tunisia,Eastern Mediterranean,1041197,8809.803,1004,8.495,0,28575,241.78,25,0.212,0,2.7444427531466937,TUN,EMRO,REPORTING,5/9/2022,13151111.0,7225647.0,111.275,61.138,6368899.0,53.889,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/2021,10.0,1243334.0,10.52
Slovenia,Europe,1016993,48523.876,5656,269.865,982,7697,367.248,13,0.62,1,0.7568397874893589,SVN,EURO,REPORTING,5/1/2022,2956156.0,1238708.0,141.0,59.103,1207508.0,57.614,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,645904.0,30.818
New Zealand,Western Pacific,1009876,20942.082,52135,1081.138,8047,855,17.73,102,2.115,29,0.0846620694160208,NZL,WPRO,REPORTING,5/6/2022,11053632.0,4263702.0,229.222,88.418,4074691.0,84.498,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/19/2021,4.0,2660782.0,55.177
Belarus,Europe,982867,10401.456,1999,21.155,58,6978,73.847,24,0.254,4,0.7099679121846018,BLR,EURO,REPORTING,5/1/2022,12495345.0,6235073.0,132.2,65.984,5851853.0,61.929,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4.0,691479.0,7.318
Nepal,South-East Asia,978978,3359.936,94,0.323,18,11952,41.02,0,0.0,0,1.2208565877445283,NPL,SEARO,REPORTING,5/9/2022,45693223.0,22326785.0,156.823,76.627,19701003.0,67.616,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/27/2021,8.0,3665435.0,12.58
Mongolia,Western Pacific,922227,28131.343,802,24.464,0,2111,64.393,1,0.031,0,0.2289012650409189,MNG,WPRO,REPORTING,5/6/2022,5619236.0,2273095.0,171.408,69.338,2175855.0,66.372,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,6.0,1041240.0,31.762
Bolivia (Plurinational State of),Americas,905453,7756.801,356,3.05,0,21925,187.826,2,0.017,0,2.4214363627479933,BOL,AMRO,REPORTING,5/6/2022,13606698.0,7177505.0,116.565,61.488,5930420.0,50.805,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,6.0,1387905.0,11.89
Uruguay,Americas,902540,25981.87,2817,81.094,0,7213,207.644,3,0.086,0,0.7991880492050805,URY,AMRO,REPORTING,5/6/2022,8186727.0,2984761.0,235.675,85.924,2864925.0,82.474,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/2021,3.0,2337041.0,67.278
