COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Alcoholic Beverages,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Predicted Correlations
Belarus,Europe,982867,10401.456,1999,21.155,58,6978,73.847,24,0.254,4,0.709967912184602,BLR,EURO,REPORTING,5/1/2022,12495345,6235073,132.2,65.984,5851853,61.929,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,691479,7.318,3.7563,12.7089,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,4.0155,0.1399,0.8804,8.7859,37.2904,26.6,0.0,0.298
Belgium,Europe,4102082,35600.81,17516,152.016,0,31580,274.074,45,0.391,0,0.769853270192448,BEL,EURO,REPORTING,5/1/2022,25303482,9228773,219.6,80.094,9131490,79.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,7130176,61.881,5.373,17.7279,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,3.6514,0.1309,0.564,6.8161,32.2637,24.5,0.0,0.0532
Belize,Americas,57675,14504.763,184,46.274,63,676,170.008,0,0.0,0,1.17208395614599,BLZ,AMRO,REPORTING,5/6/2022,473152,237193,118.994,59.652,211123,53.096,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,45848,11.53,3.3803,8.6856,11.07,0.3923,1.0325,12.6094,3.489,3.6317,3.9798,0.034,1.0198,4.7721,41.3122,22.4,7.5,0.0183
Botswana,Africa,306200,13020.772,0,0.0,0,2690,114.389,0,0.0,0,0.878511658141314,BWA,AFRO,REPORTING,5/8/2022,1920000,1479625,81.646,62.919,1339651,56.967,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6,327708,13.935,4.2717,14.4486,11.432,0.1402,0.3551,2.8465,2.284,11.0217,4.7857,0.015,1.0065,4.0558,35.5491,16.1,26.4,0.0792
Brazil,Americas,30574245,14383.858,113248,53.278,9709,664192,312.474,590,0.278,53,2.17239352613186,BRA,AMRO,REPORTING,5/6/2022,416055006,179112844,195.736,84.265,159915412,75.233,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5,79853054,37.567,4.3629,17.347,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,2.7755,0.0513,1.2823,3.307,32.6537,22.3,0.0,13.8
Bulgaria,Europe,1160347,16692.081,2428,34.928,422,37007,532.361,60,0.863,13,3.1893027597937,BGR,EURO,REPORTING,5/1/2022,4383603,2087643,63.1,30.032,2057778,29.602,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,743630,10.697,7.0834,17.2483,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,2.3627,0.0797,0.7085,6.2037,32.7435,27.4,3.6,0.0172
Cabo Verde,Africa,56075,10085.667,39,7.015,0,401,72.124,0,0.0,0,0.715113834315569,CPV,AFRO,REPORTING,5/8/2022,756797,354945,136.118,63.841,307145,55.243,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4,70,0.013,3.9814,9.7559,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,2.1396,0.0258,0.9471,6.6338,40.2437,10.6,12.6,0.0372
Cambodia,Western Pacific,136262,815.015,5,0.03,0,3056,18.279,0,0.0,0,2.2427808077152,KHM,WPRO,REPORTING,5/6/2022,38460280,14932546,230.04,89.315,14192815,84.891,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7,8586491,51.358,4.5783,6.08,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,2.9923,0.0238,0.2511,3.0072,43.9195,3.5,16.4,0.552
Cameroon,Africa,119780,451.219,0,0.0,0,1927,7.259,0,0.0,0,1.60875317750361,CMR,AFRO,REPORTING,5/8/2022,1828882,1552320,6.89,5.848,1209108,4.555,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4,52011,0.196,5.156,2.933,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.6479,0.1324,0.6398,8.859,47.067,9.5,9.9,0.23
Canada,Americas,3794896,10054.794,30050,79.619,2060,39788,105.421,338,0.896,5,1.04846504065623,CAN,AMRO,REPORTING,5/6/2022,82266137,32534718,217.969,86.203,31193378,82.649,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5,18538041,49.118,4.8441,16.0365,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,5.0237,0.1439,1.3441,5.4961,33.9551,31.3,0.0,0.981
Chile,Americas,3583227,18744.451,19577,102.411,1853,57642,301.535,98,0.513,3,1.60866274504385,CHL,AMRO,REPORTING,5/6/2022,52997000,17918425,277.236,93.734,17464675,91.361,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5,14021464,73.349,4.969,15.0394,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,3.5582,0.119,0.5435,5.3092,34.9584,28.8,2.7,0.374
China,Western Pacific,1428927,97.121,277804,18.882,51290,15493,1.053,164,0.011,24,1.08421453650601,CHN,WPRO,REPORTING,5/6/2022,3399003302,1295022927,231.022,88.02,1263903146,85.905,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020,8,739107960,50.235,2.3224,13.424,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,3.1065,0.2665,0.579,13.099,36.5744,6.6,8.5,25.7
Colombia,Americas,6093645,11975.823,978,1.922,0,139809,274.766,12,0.024,0,2.29433918654275,COL,AMRO,REPORTING,5/6/2022,82845381,42136168,162.816,82.81,35534430,69.836,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5,11597140,22.792,3.1032,12.821,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,4.7518,0.0947,0.9454,3.0981,37.1774,22.1,4.8,4.66
Costa Rica,Americas,857290,16829.017,5216,102.393,0,8421,165.308,16,0.314,0,0.982279594821254,CRI,AMRO,REPORTING,5/6/2022,10698423,4413772,210.015,86.644,4105520,80.593,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/24/2020,3,2179131,42.777,1.6982,18.677,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,3.9006,0.0397,1.4363,2.9837,31.3238,25.7,4.8,0.224
Croatia,Europe,1128239,27801.703,4661,114.855,440,15899,391.778,51,1.257,3,1.40918705591524,HRV,EURO,REPORTING,5/1/2022,5243706,2311811,129.2,57.0,2237678,55.14,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,891125,21.959,4.9846,17.311,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,3.088,0.0761,0.3808,12.5188,32.6838,27.1,0.0,0.0535
Cyprus,Europe,483664,54466.36,3444,387.836,0,1027,115.653,12,1.351,0,0.212338404842916,CYP,EURO,REPORTING,5/1/2022,1767252,662881,199.0,74.648,659031,74.215,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,459937,51.794,3.4447,16.1736,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,4.2194,0.1781,1.1937,7.3888,33.8191,22.6,5.6,0
Czechia,Europe,3914113,36601.228,4917,45.979,755,40233,376.222,37,0.346,1,1.02789447392312,CZE,EURO,REPORTING,5/1/2022,17563851,6952162,164.2,65.01,6862670,64.173,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,4158810,38.889,9.8498,17.8065,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,3.8081,0.0477,0.9854,4.5289,32.1944,28.5,0.0,0.0572
Denmark,Europe,3124899,53666.945,5800,99.609,1003,6252,107.372,61,1.048,8,0.200071012054068,DNK,EURO,REPORTING,5/1/2022,13200246,4833577,226.7,83.012,4785844,82.192,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/16/2020,5,3627647,62.301,4.8866,23.2141,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,2.8728,0.1138,0.0915,5.2431,26.7812,21.3,0.0,0.0247
Dominica,Americas,12493,17353.558,332,461.169,0,63,87.511,0,0.0,0,0.504282752851029,DMA,AMRO,REPORTING,5/6/2022,66479,32611,92.343,45.299,30222,41.98,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021,4,3646,5.065,0.941,8.9011,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,3.1738,0.0035,0.3797,4.6371,41.0989,28.2,6.2,0.00107
Dominican Republic,Americas,580020,5346.836,448,4.13,0,4376,40.34,0,0.0,0,0.75446488353112,DOM,AMRO,REPORTING,5/6/2022,15502635,7208988,142.909,66.455,5964717,54.985,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021,3,2328930,21.469,3.21,11.2417,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,2.1332,0.0108,1.2948,2.7385,38.7577,26.9,9.5,0.896
Ecuador,Americas,871029,4936.951,1126,6.382,0,35602,201.79,4,0.023,0,4.08734054682738,ECU,AMRO,REPORTING,5/6/2022,34566499,15134584,195.921,85.782,13925623,78.93,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,4,5915440,33.528,3.2929,15.3469,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,1.737,0.016,1.3777,2.4981,34.6522,19.3,7.9,0.885
Egypt,Eastern Mediterranean,513846,502.124,56,0.055,0,24669,24.106,28,0.027,0,4.80080617536704,EGY,EMRO,REPORTING,5/8/2022,82376780,46490815,80.498,45.43,34569036,33.78,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/2021,10,2754574,2.692,0.0722,6.7374,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,1.7984,0.0268,0.3839,10.6559,43.2622,31.1,4.5,8.6
El Salvador,Americas,162089,2498.981,0,0.0,0,4129,63.658,1,0.015,1,2.5473583032444,SLV,AMRO,REPORTING,5/6/2022,10650522,4579500,164.203,70.604,4288368,66.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,6,1597387,24.627,2.1651,12.888,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,3.526,0.0155,0.4565,7.2703,37.1029,22.7,9.0,0.224
Estonia,Europe,573922,43185.279,861,64.787,0,2556,192.329,5,0.376,0,0.445357780367704,EST,EURO,REPORTING,5/1/2022,2066615,841064,155.5,63.287,836478,62.942,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,453413,34.117,6.1949,22.3154,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,2.3886,0.0886,0.3472,4.9558,27.6779,23.8,2.9,0.00111
Ethiopia,Africa,470760,409.486,151,0.131,0,7510,6.533,0,0.0,0,1.59541473945385,ETH,AFRO,REPORTING,5/8/2022,29373478,24769870,25.55,21.546,21291403,18.52,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021,4,346411,0.301,2.4543,5.2956,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,1.317,0.0802,0.4699,1.8449,44.6989,3.6,20.6,2.26
Fiji,Western Pacific,64725,7220.186,79,8.813,0,862,96.158,0,0.0,0,1.33179394547453,FJI,WPRO,REPORTING,5/5/2022,1447529,687835,161.474,76.729,634655,70.797,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021,3,125039,13.948,1.8598,7.8511,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,9.7259,0.0157,0.8683,3.9255,42.1469,30.0,3.7,0.0403
Finland,Europe,1052767,19053.599,1459,26.406,0,4150,75.109,0,0.0,0,0.394198492368817,FIN,EURO,REPORTING,5/1/2022,11788503,4527706,213.4,81.945,4333456,78.429,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,2927341,52.981,4.5004,26.8865,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,1.8388,0.046,0.2468,3.8325,23.1132,24.9,0.0,0.137
France,Europe,28172780,43316.509,250885,385.743,48584,143723,220.979,710,1.092,123,0.510149606008185,FRA,EURO,REPORTING,5/1/2022,147030463,54336626,218.4,80.714,52726063,78.321,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,39676353,58.937,4.1631,21.7097,6.9951,0.611,1.8214,4.878,4.4005,13.784,2.611,0.2093,0.8675,5.1223,28.2903,23.2,0.0,1.09
Gabon,Africa,47608,2138.98,6,0.27,0,304,13.658,0,0.0,0,0.638528644494105,GAB,AFRO,REPORTING,5/8/2022,556657,300871,25.01,13.518,255200,11.466,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3,2126,0.096,6.1881,8.1825,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,1.2508,0.0051,0.4824,2.3979,41.8004,13.4,10.5,0.0337
Georgia,Europe,1655221,41492.815,0,0.0,0,16811,421.415,0,0.0,0,1.01563367055236,GEO,EURO,REPORTING,4/24/2022,2670636,1277876,66.9,32.034,1161430,29.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4,231330,5.799,2.5343,15.5347,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,3.311,0.1631,0.668,4.0993,34.4636,23.3,7.9,0.085
Germany,Europe,25503878,30665.969,422268,507.737,69020,136987,164.714,80,0.096,5,0.537123089115495,DEU,EURO,REPORTING,5/1/2022,178550662,64498790,214.7,77.554,64415843,77.454,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,49321652,59.305,6.7714,20.8485,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,2.507,0.1903,0.8104,5.0542,29.1443,25.7,0.0,0.00867
Ghana,Africa,161269,519.001,47,0.151,0,1445,4.65,0,0.0,0,0.895952030920942,GHA,AFRO,REPORTING,5/8/2022,13047826,9688415,41.991,31.18,6030567,19.408,"Gamaleya - Gam-Covid-Vac,SII - Covishield",3/2/2021,2,438799,1.412,0.9444,2.8956,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.8128,0.0364,0.3655,1.6849,47.1041,9.7,5.5,2.55
Greece,Europe,3371051,31450.581,35501,331.21,6416,29444,274.701,195,1.819,27,0.873436964487238,GRC,EURO,REPORTING,5/1/2022,20954161,7894162,195.5,73.649,7704695,71.882,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,5754235,53.685,2.2879,17.6914,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,1.7744,0.6676,1.5237,7.9134,32.3038,27.4,0.0,0.119
Guatemala,Americas,849552,4741.976,2920,16.299,57,17703,98.814,90,0.502,4,2.08381484849354,GTM,AMRO,REPORTING,5/6/2022,17045569,8149141,95.144,45.486,6146209,34.307,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/25/2021,5,2733733,15.259,1.7037,10.3765,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,5.3058,0.198,0.8747,5.7997,39.624,18.8,15.2,1.43
Guinea-Bissau,Africa,8215,417.429,5,0.254,0,171,8.689,0,0.0,0,2.08155159320507,GNB,AFRO,REPORTING,5/8/2022,562620,519455,28.588,26.395,341495,17.352,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/2021,2,20,0.001,2.4603,4.9295,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.7893,0.4485,1.8016,2.3642,45.0666,8.2,28.0,0.122
Guyana,Americas,63586,8084.144,102,12.968,3,1228,156.124,0,0.0,0,1.93123724663984,GUY,AMRO,REPORTING,5/6/2022,903034,475116,114.809,60.405,365149,46.424,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/11/2021,7,62769,7.98,1.8708,9.1155,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,3.2325,0.0435,0.2779,15.2061,40.8722,19.2,8.1,0.079
Honduras,Americas,424365,4284.521,647,6.532,486,10895,109.999,2,0.02,0,2.56735817142686,HND,AMRO,REPORTING,5/6/2022,13657639,5960689,137.892,60.181,5340476,53.919,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,6,2356849,23.795,2.0662,13.6048,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,5.9591,0.0276,1.2467,2.6599,36.3883,19.4,12.9,0.452
Hungary,Europe,1909948,19550.058,6748,69.072,6748,46343,474.363,77,0.788,77,2.42640200862831,HUN,EURO,REPORTING,5/1/2022,16371264,6343223,167.6,64.929,6136829,62.816,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/23/2020,7,3829408,39.197,6.7533,20.0268,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,2.5433,0.0183,0.7214,5.6788,29.9644,28.6,0.0,0.151
Iceland,Europe,186179,51129.255,438,120.285,90,120,32.955,1,0.275,0,0.0644542933394981,ISL,EURO,REPORTING,4/3/2022,797004,306009,218.9,84.037,296252,81.358,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,248616,68.276,4.7545,23.97,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,3.9472,0.0752,0.4667,3.6874,26.0331,23.1,0.0,0.0033
